Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/es_ES/_versions/2.7/guides/writing-extensions.adoc.po, 650, 651, 13362, 13363, 1%
l10n/po/es_ES/_versions/2.7/guides/qute-reference.adoc.po, 586, 596, 8611, 8623, 1%
l10n/po/es_ES/_versions/2.7/guides/kafka.adoc.po, 396, 414, 7789, 8030, 4%
l10n/po/es_ES/_versions/2.7/guides/security-openid-connect-web-authentication.adoc.po, 228, 242, 5720, 5775, 1%
l10n/po/es_ES/_versions/2.7/guides/native-reference.adoc.po, 192, 193, 5323, 5326, 1%
l10n/po/es_ES/_versions/2.7/guides/deploying-to-kubernetes.adoc.po, 521, 530, 5224, 5235, 1%
l10n/po/es_ES/_versions/2.7/guides/resteasy-reactive.adoc.po, 350, 355, 4955, 4962, 1%
l10n/po/es_ES/_versions/2.7/guides/maven-tooling.adoc.po, 247, 251, 4796, 4800, 1%
l10n/po/es_ES/_versions/2.7/guides/hibernate-orm.adoc.po, 244, 249, 4758, 4777, 1%
l10n/po/es_ES/_versions/2.7/guides/getting-started-testing.adoc.po, 180, 185, 4290, 4314, 1%
l10n/po/es_ES/_versions/2.7/guides/cdi-reference.adoc.po, 222, 226, 4031, 4037, 1%
l10n/po/es_ES/_versions/2.7/guides/security-jwt.adoc.po, 232, 249, 3777, 3835, 2%
l10n/po/es_ES/_versions/2.7/guides/security-openid-connect.adoc.po, 173, 186, 3720, 3773, 2%
l10n/po/es_ES/_versions/2.7/guides/building-native-image.adoc.po, 168, 174, 3632, 3651, 1%
l10n/po/es_ES/_versions/2.7/guides/mongodb-panache.adoc.po, 163, 177, 3438, 3520, 3%
l10n/po/es_ES/_versions/2.7/guides/building-my-first-extension.adoc.po, 173, 176, 3346, 3349, 1%
l10n/po/es_ES/_versions/2.7/guides/hibernate-search-orm-elasticsearch.adoc.po, 183, 194, 3122, 3163, 2%
l10n/po/es_ES/_versions/2.7/guides/datasource.adoc.po, 239, 240, 3112, 3113, 1%
l10n/po/es_ES/_versions/2.7/guides/cassandra.adoc.po, 143, 146, 2989, 2992, 1%
l10n/po/es_ES/_versions/2.7/guides/security-openid-connect-dev-services.adoc.po, 96, 100, 2795, 2803, 1%
l10n/po/es_ES/_versions/2.7/guides/rest-json.adoc.po, 131, 140, 2654, 2691, 2%
l10n/po/es_ES/_versions/2.7/guides/rest-client-reactive.adoc.po, 140, 150, 2645, 2698, 2%
l10n/po/es_ES/_versions/2.7/guides/cdi-integration.adoc.po, 155, 155, 2582, 2582, 0%
l10n/po/es_ES/_versions/2.7/guides/security-openid-connect-client.adoc.po, 125, 128, 2557, 2560, 1%
l10n/po/es_ES/_versions/2.7/guides/hibernate-orm-panache.adoc.po, 128, 139, 2526, 2583, 3%
l10n/po/es_ES/_versions/2.7/guides/hibernate-reactive-panache.adoc.po, 123, 133, 2490, 2540, 2%
l10n/po/es_ES/_versions/2.7/guides/kafka-streams.adoc.po, 122, 130, 2459, 2488, 2%
l10n/po/es_ES/_versions/2.7/guides/config-reference.adoc.po, 163, 165, 2451, 2454, 1%
l10n/po/es_ES/_versions/2.7/guides/cache.adoc.po, 125, 132, 2395, 2425, 2%
l10n/po/es_ES/_versions/2.7/guides/vertx-reference.adoc.po, 191, 194, 2346, 2351, 1%
l10n/po/es_ES/_versions/2.7/guides/gradle-tooling.adoc.po, 123, 124, 2272, 2273, 1%
l10n/po/es_ES/_versions/2.7/guides/optaplanner.adoc.po, 125, 130, 2243, 2260, 1%
l10n/po/es_ES/_versions/2.7/guides/cdi.adoc.po, 122, 123, 2221, 2222, 1%
l10n/po/es_ES/_versions/2.7/guides/logging.adoc.po, 212, 219, 2152, 2161, 1%
l10n/po/es_ES/_versions/2.7/guides/reactive-routes.adoc.po, 149, 152, 2094, 2107, 1%
l10n/po/es_ES/_versions/2.7/guides/security.adoc.po, 114, 117, 2078, 2081, 1%
l10n/po/es_ES/_versions/2.7/guides/jreleaser.adoc.po, 61, 63, 1983, 1987, 1%
l10n/po/es_ES/_versions/2.7/guides/software-transactional-memory.adoc.po, 42, 44, 1960, 1964, 1%
l10n/po/es_ES/_versions/2.7/guides/mutiny-primer.adoc.po, 121, 121, 1959, 1959, 0%
l10n/po/es_ES/_versions/2.7/guides/micrometer.adoc.po, 68, 77, 1957, 1993, 2%
l10n/po/es_ES/_versions/2.7/guides/mongodb.adoc.po, 99, 109, 1897, 1936, 3%
l10n/po/es_ES/_versions/2.7/guides/rabbitmq-reference.adoc.po, 178, 229, 1886, 2277, 18%
l10n/po/es_ES/_versions/2.7/guides/getting-started-reactive.adoc.po, 73, 75, 1842, 1845, 1%
l10n/po/es_ES/_versions/2.7/guides/infinispan-client.adoc.po, 105, 111, 1824, 1836, 1%
